Summary,Issue Type,Priority,Epic Name,Epic Link,Sprint,Story Points,Labels,Description
"Create admin dashboard page (/admin/dashboard) with summary statistics",Story,Highest,,Admin Panel - Core Infrastructure,Sprint 2,8,admin,"Build admin dashboard showing: total users (by role), total doctors (verified/unverified), total records (by type), total prescriptions, total medicines. Use cards with counts and trend indicators."
"Add admin sidebar navigation component",Story,High,,Admin Panel - Core Infrastructure,Sprint 2,3,admin,"Create a collapsible sidebar with links: Dashboard, Users, Doctors, Medicines, Audit Log, Settings. Highlight active section. Responsive design."
"Implement admin login flow with Keycloak admin role mapping",Story,Highest,,Admin Panel - Core Infrastructure,Sprint 2,3,admin,"Ensure Keycloak realm has 'admin' role. Map it in auto-provisioning logic. Admin users should be redirected to /admin/dashboard after login."
"Build admin layout wrapper component with AuthGuard requiring admin role",Story,High,,Admin Panel - Core Infrastructure,Sprint 2,3,admin,"Create AdminLayout component wrapping all /admin/* pages. Include AuthGuard with requiredRole='admin', sidebar, and top bar with admin user info."
"Create audit_logs table and Alembic migration",Task,High,,Admin Panel - Core Infrastructure,Sprint 2,3,admin,"Create migration for audit_logs table: id (UUID), admin_id (FK users), action (String), entity_type (String), entity_id (UUID), details (JSONB), ip_address (String), created_at (DateTime). Add index on (entity_type, entity_id) and (admin_id, created_at)."
"Create admin activity log model and service",Story,High,,Admin Panel - Core Infrastructure,Sprint 3,3,admin,"Build AuditLog SQLAlchemy model and audit_service.py with log_action() helper. Auto-log all admin write operations."
"Build audit log API endpoints - list and filter",Story,Medium,,Admin Panel - Core Infrastructure,Sprint 3,5,admin,"GET /api/v1/admin/audit-logs with filters: action_type, admin_id, entity_type, date_from, date_to. Paginated with cursor. Return audit log entries with admin user name."
"Display recent activity feed on admin dashboard",Story,Medium,,Admin Panel - Core Infrastructure,Sprint 3,3,admin,"Show last 50 admin actions on dashboard as a timeline. Each entry shows: admin name, action description, timestamp, entity link."
"Add admin route protection on frontend",Task,High,,Admin Panel - Core Infrastructure,Sprint 2,2,admin,"Add route guard logic in frontend to redirect non-admin users away from /admin/* paths. Show 'Access Denied' page if role doesn't match."
"Build admin settings page for system-wide configuration",Story,Low,,Admin Panel - Core Infrastructure,Sprint 5,5,admin,"Admin settings page for: default pagination limit, record retention days, maintenance mode toggle, allowed file upload types/sizes. Store in a settings table or config."
"Build admin medicine list page (/admin/medicines) with table, search, and filters",Story,Highest,,Admin Panel - Medicine Management,Sprint 3,8,admin medicine-data,"Paginated data table with columns: brand_name, salt_composition, manufacturer, therapeutic_class, dosage_form, strength, mrp, schedule. Search bar, filter dropdowns. Click row to edit."
"Create admin add medicine form (/admin/medicines/new)",Story,High,,Admin Panel - Medicine Management,Sprint 3,5,admin medicine-data,"Form with all medicine fields: brand_name, salt_composition, manufacturer, dosage_form, strength, therapeutic_class, schedule, mrp. Validation with Zod. Submit to POST /api/v1/admin/medicines."
"Build admin edit medicine page (/admin/medicines/{id}/edit)",Story,High,,Admin Panel - Medicine Management,Sprint 3,5,admin medicine-data,"Pre-populated edit form. Fetch medicine by ID, allow editing all fields. Submit to PUT /api/v1/admin/medicines/{id}. Show last updated timestamp."
"Add bulk import UI - upload CSV to add/update medicines in batch",Story,High,,Admin Panel - Medicine Management,Sprint 4,8,admin medicine-data,"CSV file upload component. Parse CSV client-side, show preview table with validation errors highlighted. Submit valid rows to bulk import endpoint. Show progress bar and results summary."
"Add bulk export - download full medicine database as CSV",Story,Medium,,Admin Panel - Medicine Management,Sprint 4,3,admin medicine-data,"Button to export all medicines as CSV. Include all fields. Support filtered export (only current search/filter results)."
"Create admin API endpoint to create a medicine (POST /api/v1/admin/medicines)",Story,High,,Admin Panel - Medicine Management,Sprint 3,3,admin medicine-data,"Admin-only endpoint. Validate all fields with Pydantic schema. Check for duplicates before insert. Log action to audit log. Return created medicine."
"Create admin API endpoint to update a medicine (PUT /api/v1/admin/medicines/{id})",Story,High,,Admin Panel - Medicine Management,Sprint 3,3,admin medicine-data,"Admin-only endpoint. Partial update support. Validate fields. Log changes to audit log with before/after values. Return updated medicine."
"Create admin API endpoint to soft-delete a medicine (DELETE /api/v1/admin/medicines/{id})",Story,Medium,,Admin Panel - Medicine Management,Sprint 3,2,admin medicine-data,"Admin-only endpoint. Set deleted_at timestamp. Do not actually delete. Log to audit. Ensure soft-deleted medicines don't appear in search/autocomplete results."
"Build medicine approval workflow - pending status for new medicines",Story,Low,,Admin Panel - Medicine Management,Sprint 6,5,admin medicine-data,"Add 'status' field to medicines (active, pending, rejected). Medicines added by doctors enter 'pending'. Admin reviews and approves. Only 'active' medicines appear in search."
"Add drug interaction editor for admin",Story,Low,,Admin Panel - Medicine Management,Sprint 7,8,admin medicine-data,"Interface for admin to add/edit/remove drug interaction warnings. Select two medicines, define interaction severity (mild, moderate, severe) and description. Store in medicines.interactions JSONB."
"Build admin user list page (/admin/users) with search and role filter",Story,High,,Admin Panel - User Management,Sprint 3,5,admin,"Paginated table: full_name, email, phone, role, is_active, created_at. Search by name/email/phone. Filter by role (all/patient/doctor/admin) and status (active/inactive)."
"Create admin user detail page (/admin/users/{id})",Story,High,,Admin Panel - User Management,Sprint 4,5,admin,"Show full user profile, linked doctor profile if applicable, count of records and prescriptions, account creation date, last login. Action buttons: activate/deactivate, change role, reset password."
"Add admin ability to activate/deactivate user accounts",Story,High,,Admin Panel - User Management,Sprint 4,3,admin,"Toggle is_active flag via PUT /api/v1/admin/users/{id}. Deactivated users should be blocked at the auth dependency level. Log action to audit."
"Add admin ability to change user roles",Story,Medium,,Admin Panel - User Management,Sprint 4,3,admin,"Allow changing role between patient/doctor/admin. If changing to doctor, auto-create doctor profile. If changing from doctor, handle gracefully. Sync with Keycloak roles via Admin API."
"Build user creation form for admin",Story,Medium,,Admin Panel - User Management,Sprint 5,5,admin,"Form to create users directly: full_name, email, phone, role, password. Create in both Keycloak and local DB. Send welcome email with credentials."
"Create admin API endpoints for user CRUD (GET/PUT/DELETE /api/v1/admin/users/{id})",Story,High,,Admin Panel - User Management,Sprint 3,5,admin,"GET: return user with doctor profile if exists. PUT: update fields (full_name, email, phone, role, is_active, language_pref). DELETE: soft delete. All admin-only with audit logging."
"Build admin bulk user export as CSV",Story,Low,,Admin Panel - User Management,Sprint 5,3,admin,"Export user list matching current filters as CSV. Include: full_name, email, phone, role, is_active, created_at. Exclude sensitive data."
"Add user activity timeline on admin user detail page",Story,Low,,Admin Panel - User Management,Sprint 6,5,admin,"Show chronological list of user actions: account created, records created, prescriptions received, profile updates, login events. Requires activity tracking."
"Implement admin password reset via Keycloak Admin API",Story,Medium,,Admin Panel - User Management,Sprint 5,5,admin,"Call Keycloak Admin REST API to trigger password reset email for a user. Requires backend service account with Keycloak admin privileges."
"Add user account merge functionality for duplicate patients",Story,Low,,Admin Panel - User Management,Sprint 8,8,admin,"Select two patient accounts to merge. Transfer all records and prescriptions to the surviving account. Soft-delete the duplicate. Requires careful data migration logic."
"Build doctor verification queue page (/admin/doctors/pending)",Story,Highest,,Admin Panel - Doctor Verification,Sprint 3,5,admin,"List all doctors where verified=false. Show: name, email, specialization, license_number, facility, registration date. Actions: View Details, Approve, Reject."
"Create doctor verification detail page with document review",Story,High,,Admin Panel - Doctor Verification,Sprint 4,5,admin,"Show full doctor profile, uploaded documents (license, ID proof), and verification checklist. Admin can add notes, approve or reject with reason."
"Add API endpoint to approve/reject doctor verification",Story,Highest,,Admin Panel - Doctor Verification,Sprint 3,3,admin,"PUT /api/v1/admin/doctors/{id}/verify with body: {action: 'approve'|'reject', reason: string}. Update verified flag. Log to audit. Trigger notification to doctor."
"Send notification to doctor on verification approval/rejection",Story,Medium,,Admin Panel - Doctor Verification,Sprint 5,3,admin notifications,"Email notification to doctor with verification result. Include reason if rejected. Include next steps (e.g., resubmit documents)."
"Add doctor document upload support (license certificate, ID proof)",Story,High,,Admin Panel - Doctor Verification,Sprint 4,8,admin,"Add document upload to doctor registration/profile flow. Store in S3/MinIO. Link documents to doctor profile. Support PDF, JPG, PNG up to 5MB."
"Build verified doctor badge display on patient-facing views",Story,Medium,,Admin Panel - Doctor Verification,Sprint 5,2,admin,"Show a verified checkmark badge next to doctor names on patient timeline and record detail views. Only for doctors where verified=true."
"Add doctor suspension capability for admin",Story,Medium,,Admin Panel - Doctor Verification,Sprint 5,3,admin,"Admin can suspend a doctor's access temporarily. Add 'suspended' status. Suspended doctors can't create records or prescriptions. Show suspension reason."
"Create admin doctor list page (/admin/doctors) with verification filters",Story,High,,Admin Panel - Doctor Verification,Sprint 4,5,admin,"Paginated table of all doctors. Columns: name, specialization, facility, license_number, verified status, created_at. Filter by: verified/unverified/suspended."
"Integrate medicine autocomplete into prescription creation form",Story,Highest,,Prescription Enhancement,Sprint 2,5,prescriptions,"Replace free-text medicine name input with autocomplete component that queries GET /api/v1/medicines/autocomplete. Show brand_name, salt_composition, strength in dropdown. Set medicine_id on selection."
"Auto-populate dosage form, strength, and MRP when medicine selected",Story,High,,Prescription Enhancement,Sprint 2,3,prescriptions,"When doctor selects a medicine from autocomplete, auto-fill the dosage_form, strength, and MRP fields. Allow doctor to override if needed."
"Show real-time drug interaction warnings on prescription form",Story,High,,Prescription Enhancement,Sprint 4,8,prescriptions,"When multiple medicines are added, check for interactions between all pairs. Show warning banner with severity (mild/moderate/severe) and interaction description. Allow doctor to proceed with acknowledgment."
"Display alternative/generic medicine suggestions",Story,Medium,,Prescription Enhancement,Sprint 4,5,prescriptions,"When a branded medicine is selected, show a collapsible section with generic alternatives and other brands with the same salt. Show price comparison (MRP)."
"Add prescription PDF generation with doctor details and QR code",Story,High,,Prescription Enhancement,Sprint 5,8,prescriptions,"Generate a PDF prescription with: clinic header, doctor details, patient info, date, Rx symbol, medicine table (name, dosage, frequency, duration, timing), diagnosis, notes, doctor signature placeholder, QR code linking to digital prescription."
"Build prescription print view with standard Indian Rx format",Story,Medium,,Prescription Enhancement,Sprint 5,5,prescriptions,"Create a print-optimized page (/patient/prescriptions/{id}/print) with standard Indian prescription layout. Use @media print CSS. Include Rx header, patient demographics, medicine table."
"Add prescription sharing via link or SMS/WhatsApp",Story,Medium,,Prescription Enhancement,Sprint 7,5,prescriptions notifications,"Generate a shareable link (with expiry token) for a prescription. Option to send via SMS or WhatsApp. Link opens a read-only prescription view (no auth required, time-limited)."
"Implement prescription refill request workflow",Story,Medium,,Prescription Enhancement,Sprint 7,8,prescriptions,"Patient can request a refill on an existing prescription. Doctor receives notification and can approve (creates new prescription) or deny with reason. Track refill history."
"Add prescription validity tracking with patient notifications",Story,Medium,,Prescription Enhancement,Sprint 6,5,prescriptions notifications,"Check prescription valid_until dates. Notify patients 7 days before expiry and on expiry day. Show expiry status badge on prescription list."
"Create prescription history comparison view",Story,Low,,Prescription Enhancement,Sprint 8,5,prescriptions,"Side-by-side view of two prescriptions for the same patient. Highlight added, removed, and changed medicines. Useful for tracking treatment changes over time."
"Add dosage calculator for pediatric dosing based on weight/age",Story,Low,,Prescription Enhancement,Sprint 9,5,prescriptions,"Calculator tool on prescription form. Input: patient weight (kg) or age. Calculates recommended dose for selected medicine. Based on standard pediatric dosing guidelines."
"Build prescription templates - save and reuse common prescription combos",Story,High,,Prescription Enhancement,Sprint 5,5,prescriptions,"Doctors can save a prescription as a template (name + medicine list). Recall templates when creating new prescriptions. Templates stored per doctor. CRUD API for templates."
"Build patient profile edit page - update phone, language, emergency contact",Story,High,,Patient Portal Enhancement,Sprint 4,5,patient,"Editable profile form. Fields: full_name (read-only from Keycloak), phone, language_pref (dropdown), emergency_contact_name, emergency_contact_phone. Save to PUT /api/v1/patients/profile."
"Add patient medical history summary - allergies, conditions, blood group",Story,High,,Patient Portal Enhancement,Sprint 4,8,patient,"New section on patient profile: blood_group, allergies (list), chronic_conditions (list), height, weight. New DB columns or JSONB field. Editable by patient."
"Create patient appointment booking system",Story,Medium,,Patient Portal Enhancement,Sprint 7,13,patient,"Appointment booking flow: search doctors by specialization/city, view available slots, book slot, receive confirmation. Requires appointments table, doctor schedule, and booking API."
"Build patient notification center",Story,Medium,,Patient Portal Enhancement,Sprint 6,5,patient notifications,"Notification bell icon in navbar with unread count. Dropdown showing recent notifications. Full notifications page with mark-as-read, filter by type. Requires notifications table."
"Add patient document upload for lab reports and external records",Story,High,,Patient Portal Enhancement,Sprint 5,8,patient,"Upload UI on patient timeline. Accept PDF, JPG, PNG (max 10MB). Store in S3/MinIO. Create medical_record entry with source='uploaded'. Show upload progress bar."
"Implement patient health vitals tracking - BP, blood sugar, weight, temperature",Story,Medium,,Patient Portal Enhancement,Sprint 6,8,patient,"New vitals logging page. Quick-entry form for common vitals. Store in vitals table (patient_id, vital_type, value, unit, recorded_at). Show recent readings on dashboard."
"Build vitals chart/graph view - visualize health trends",Story,Medium,,Patient Portal Enhancement,Sprint 7,5,patient,"Line charts showing vital trends over time (last 30/90/180 days). Use a charting library (recharts or chart.js). Separate charts per vital type. Show normal ranges as shaded bands."
"Add patient family member linking - view dependents' records",Story,Low,,Patient Portal Enhancement,Sprint 9,8,patient,"Link family members (children, elderly parents) to a patient account. View their records. Requires family_links table and consent workflow. Role: 'caregiver'."
"Create patient medication reminder feature",Story,Low,,Patient Portal Enhancement,Sprint 9,8,patient notifications,"Based on active prescriptions, generate reminder schedule. Push notifications for medicine intake times. Snooze/dismiss functionality. Track adherence percentage."
"Build patient feedback/rating system for doctor visits",Story,Low,,Patient Portal Enhancement,Sprint 8,5,patient,"After a record is created, patient can rate the visit (1-5 stars) and leave feedback. Stored in visit_feedback table. Visible to doctor on their analytics."
"Add patient record download - export health history as PDF",Story,Medium,,Patient Portal Enhancement,Sprint 6,5,patient,"Button on timeline to export all records (or filtered set) as a single PDF document. Include: patient info header, chronological records with summaries, prescription details."
"Create patient emergency card view - scannable critical info",Story,Low,,Patient Portal Enhancement,Sprint 8,3,patient,"A mobile-friendly card showing: name, blood group, allergies, emergency contact, chronic conditions, current medications. QR code linking to digital profile (with consent-gated access)."
"Build doctor appointment management page",Story,Medium,,Doctor Portal Enhancement,Sprint 7,8,doctor,"View upcoming and past appointments. Confirm, reschedule, or cancel appointments. Calendar view (day/week). Integrate with appointment booking system."
"Add patient search by name/phone/email on doctor dashboard",Story,Highest,,Doctor Portal Enhancement,Sprint 3,5,doctor,"Replace UUID-only patient lookup with searchable input. Search across patient name, email, and phone. Return matching patients with basic info. Much better UX than entering raw UUIDs."
"Create doctor schedule management - set available time slots",Story,Medium,,Doctor Portal Enhancement,Sprint 7,8,doctor,"Weekly schedule editor. Set available hours per day. Define slot duration (15/20/30 min). Mark holidays/leave. Store in doctor_schedules table."
"Build doctor analytics dashboard - patients seen, common diagnoses",Story,Medium,,Doctor Portal Enhancement,Sprint 6,8,doctor,"Charts showing: patients seen per week/month, records created per type, most common diagnoses, prescription count trend. Summary cards with key metrics."
"Add clinical notes template system for common conditions",Story,High,,Doctor Portal Enhancement,Sprint 5,5,doctor,"Pre-built templates for common conditions (Fever, URI, Diabetes follow-up, Hypertension). Template includes: typical notes, common prescriptions, follow-up instructions. Doctor can customize before saving."
"Implement doctor-to-doctor referral workflow",Story,Medium,,Doctor Portal Enhancement,Sprint 8,8,doctor,"Doctor can refer a patient to another doctor with referral notes. Receiving doctor gets notification. Referral tracked in referrals table. Patient can see referral in timeline."
"Build doctor patient history quick-view before creating new record",Story,High,,Doctor Portal Enhancement,Sprint 4,5,doctor,"On record creation page, show patient's last 5 records inline (collapsible). Includes: record type, title, date, brief description. Helps doctor see context before writing new notes."
"Add voice-to-text for clinical notes using browser Speech Recognition API",Story,Low,,Doctor Portal Enhancement,Sprint 10,5,doctor,"Microphone button on clinical notes textarea. Uses Web Speech API for real-time transcription. Doctor reviews and edits transcribed text before saving. Works in Chrome/Edge."
"Create doctor notification system - appointments, patient messages, verification",Story,Medium,,Doctor Portal Enhancement,Sprint 6,5,doctor notifications,"Notification bell for doctors. Alerts for: new appointment bookings, patient messages, verification status update, referral responses."
"Build doctor public profile page - view credentials and facility info",Story,Medium,,Doctor Portal Enhancement,Sprint 5,3,doctor,"Public-facing page /doctors/{id} showing: name, specialization, facility, city, verified badge, experience. Accessible to patients for choosing a doctor."
"Integrate ABHA ID creation - allow patients to link or create ABHA ID",Story,High,,ABDM Integration,Sprint 8,8,abdm,"Integration with ABDM APIs to create ABHA (Ayushman Bharat Health Account) ID. Flow: verify Aadhaar/mobile OTP, create ABHA, link to patient profile. Store abha_id in users table."
"Implement ABDM Health Information Provider (HIP) module",Story,High,,ABDM Integration,Sprint 9,13,abdm,"Build HIP module to share patient records via ABDM consent framework. Implement: /on-discover, /on-link, /on-consent, /health-information/request endpoints per ABDM specs."
"Implement ABDM Health Information User (HIU) module",Story,High,,ABDM Integration,Sprint 9,13,abdm,"Build HIU module to fetch patient records from other ABDM-linked facilities. Implement: /consent-requests/init, /health-information/fetch endpoints. Display external records in patient timeline."
"Build patient consent management UI for ABDM data sharing",Story,High,,ABDM Integration,Sprint 9,8,abdm,"Consent management page for patients. View pending consent requests, approve/deny, set time-limited access, revoke previously granted consents. Follows ABDM consent artifact spec."
"Add ABDM facility registry integration",Story,Medium,,ABDM Integration,Sprint 8,5,abdm,"Register MedConnect facility in ABDM Health Facility Registry (HFR). Store facility registration ID. Required for HIP/HIU operations."
"Implement ABDM health locker integration",Story,Low,,ABDM Integration,Sprint 11,8,abdm,"Integrate with ABDM health locker for long-term patient record storage. Patients can push records to their locker. Retrieve records from locker."
"Add Aadhaar/mobile OTP-based ABHA verification flow",Story,High,,ABDM Integration,Sprint 8,5,abdm,"OTP verification flow: enter Aadhaar/mobile, receive OTP, verify, link ABHA. Use ABDM auth APIs. Handle error cases (invalid Aadhaar, expired OTP)."
"Create ABDM compliance audit logging",Story,Medium,,ABDM Integration,Sprint 9,5,abdm,"Log all ABDM data exchanges: consent requests, data shares, data fetches. Required for ABDM compliance audits. Separate abdm_audit_logs table."
"Build ABDM data push - auto-push records on patient consent",Story,Medium,,ABDM Integration,Sprint 10,8,abdm,"When a new record is created and patient has active consent, automatically push record to ABDM. Background job with retry logic."
"Add ABDM sandbox testing environment configuration",Task,High,,ABDM Integration,Sprint 8,2,abdm,"Configure environment variables for ABDM sandbox. Document sandbox credentials and testing flow. Ensure all ABDM APIs hit sandbox in development."
"Implement AI-powered medical record summarization (auto-generate ai_summary)",Story,High,,AI & Intelligence Features,Sprint 7,8,ai,"Use LLM (GPT-4/Claude API) to generate concise summaries of medical records. Populate ai_summary field. Trigger on record creation. Show summary on patient timeline."
"Add OCR for uploaded documents - extract text from scanned prescriptions/lab reports",Story,High,,AI & Intelligence Features,Sprint 6,8,ai,"Integrate OCR (Tesseract.js or Google Cloud Vision) to extract text from uploaded images/PDFs. Store extracted text in raw_text field. Use for search indexing."
"Build AI symptom checker for patients",Story,Medium,,AI & Intelligence Features,Sprint 9,13,ai,"Conversational symptom checker. Patient describes symptoms, AI asks follow-up questions, suggests possible conditions and urgency level. Clear disclaimer: not a diagnosis. Recommends seeing a doctor."
"Implement AI-powered medicine interaction checker using NLP",Story,Medium,,AI & Intelligence Features,Sprint 8,8,ai,"Use NLP to analyze medical literature for drug interactions beyond our structured database. Provide evidence-based interaction warnings with source citations."
"Add smart search across records using pgvector semantic search",Story,Medium,,AI & Intelligence Features,Sprint 7,8,ai,"Generate embeddings for all medical records. Enable semantic search: 'heart problems' finds cardiology records, ECG reports, etc. Augment existing full-text search."
"Create AI lab report interpreter - explain lab values in simple language",Story,Medium,,AI & Intelligence Features,Sprint 8,8,ai,"For lab report records, use AI to explain each lab value: what it measures, whether the value is normal/high/low, what it might indicate. Display in patient-friendly language."
"Build AI health risk assessment - flag high-risk patients",Story,Low,,AI & Intelligence Features,Sprint 10,8,ai,"Analyze patient's complete record history to identify risk factors. Flag patients with patterns suggesting high risk for conditions (diabetes, heart disease). Alert doctors."
"Implement AI prescription validation - check for dosage errors and contraindications",Story,High,,AI & Intelligence Features,Sprint 7,8,ai,"Before prescription is saved, AI validates: dosage within recommended range, no contraindications with patient's known conditions, no dangerous interactions. Show warnings to doctor."
"Add multilingual AI translation for prescriptions and records",Story,Medium,,AI & Intelligence Features,Sprint 9,8,ai i18n,"Use LLM to translate prescription instructions and record summaries into patient's preferred language (Hindi, Tamil, Bengali, etc.). Store in prescription.translated JSONB."
"Build AI clinical decision support - suggest diagnosis codes and treatments",Story,Low,,AI & Intelligence Features,Sprint 11,13,ai,"Based on doctor's clinical notes, suggest ICD-10 codes and evidence-based treatment protocols. Reference clinical guidelines. Doctor approves/modifies suggestions."
"Implement i18n framework in Next.js frontend (next-intl or next-i18next)",Story,High,,Multi-language & Localization,Sprint 5,5,i18n,"Set up i18n with next-intl. Create locale files structure (en.json, hi.json). Wrap all user-facing strings with translation function. Configure locale detection."
"Create Hindi language translation file for all UI strings",Story,Medium,,Multi-language & Localization,Sprint 6,5,i18n,"Translate all English UI strings to Hindi. Cover: navigation, buttons, form labels, error messages, status badges, empty states. Professional translation (not Google Translate)."
